IC208,,,,
Arcminute,North,East,South,West
1,0.074,0.073,0.072,0.071
2,0.074,0.074,0.072,0.069
3,0.074,0.074,0.071,0.067
4,0.074,0.074,0.069,0.067
5,0.074,0.072,0.069,0.065
6,0.072,0.072,0.068,0.065
7,0.068,0.072,0.067,0.065
8,0.068,0.069,0.067,0.064
9,0.066,0.069,0.064,0.064
10,0.065,0.069,0.063,0.064
11,0.065,0.069,0.063,0.065
12,0.065,0.069,0.062,0.065
13,0.063,0.069,0.06,0.064
14,0.063,0.07,0.06,0.064
15,0.063,0.07,0.059,0.063
16,0.062,0.07,0.054,0.063
17,0.062,0.071,0.054,0.063
18,0.062,0.07,0.053,0.061
19,0.064,0.07,0.053,0.061
20,0.064,0.069,0.053,0.061
,,,,
NGC2748,,,,
Arcminute,North,East,South,West
0,0.071,0.071,0.071,0.071
1,0.073,0.071,0.071,0.068
2,0.074,0.073,0.071,0.058
3,0.074,0.074,0.071,0.05
4,0.077,0.074,0.071,0.047
5,0.087,0.077,0.068,0.051
6,0.087,0.077,0.066,0.055
7,0.096,0.077,0.066,0.057
8,0.109,0.077,0.065,0.054
9,0.109,0.076,0.061,0.049
10,0.109,0.076,0.061,0.05
11,0.106,0.077,0.057,0.052
12,0.106,0.077,0.055,0.05
13,0.098,0.077,0.055,0.047
14,0.09,0.078,0.052,0.046
15,0.09,0.077,0.051,0.042
16,0.071,0.077,0.051,0.041
17,0.059,0.077,0.05,0.04
18,0.059,0.077,0.05,0.042
19,0.053,0.077,0.05,0.047
20,0.046,0.078,0.05,0.051
,,,,
UGC5623,,,,
Arcminute,North,East,South,West
0,0.065,0.065,0.065,0.065
1,0.065,0.064,0.065,0.067
2,0.064,0.064,0.063,0.067
3,0.063,0.058,0.063,0.067
4,0.06,0.055,0.061,0.067
5,0.06,0.055,0.059,0.064
6,0.059,0.049,0.059,0.062
7,0.057,0.049,0.057,0.059
8,0.057,0.049,0.057,0.057
9,0.054,0.049,0.057,0.057
10,0.053,0.049,0.056,0.056
11,0.053,0.049,0.057,0.056
12,0.053,0.05,0.057,0.056
13,0.054,0.05,0.058,0.058
14,0.054,0.051,0.06,0.058
15,0.054,0.051,0.059,0.058
16,0.054,0.052,0.061,0.059
17,0.054,0.051,0.064,0.06
18,0.054,0.051,0.064,0.06
19,0.054,0.05,0.065,0.06
20,0.054,0.049,0.067,0.062
,,,,
NGC2668,,,,
Arcminute,North,East,South,West
0,0.095,0.095,0.095,0.095
1,0.095,0.095,0.092,0.095
2,0.094,0.095,0.09,0.093
